Fa/Sp_Year,StartMajor,F1,F2,F+,P1,P2,P+,J1,J2,J+,S1,S2,S+,isFem,StartAge,Ethnicity,StartGPA,gF1,gF2,gF+,gP1,gP2,gP+,gJ1,gJ2,gJ+,gS1,gS2,gS+,StudentKey
"Fa2011","Info Sys","n/a","n/a","0","n/a","n/a","0","n/a","n/a","0","Info Sys","Info Sys","3","0","27","White","2.336","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.327","2.319","2.336","472"
"Sp2010","Info Sys","n/a","n/a","0","n/a","n/a","0","n/a","n/a","0","Info Sys","Info Sys","4","0","27","White","2.382","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.434","2.524","2.50625","650"
"Fa2012","Biol Sci","n/a","n/a","0","n/a","n/a","0","n/a","n/a","0","Biol Sci","Biol Sci","4","1","27","Asian","2.441","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.476","2.464","2.505","682"
"Fa2010","Geog & Env Sys","n/a","n/a","0","n/a","n/a","0","n/a","n/a","0","Geog & Env Sys","Geog & Env Sys","2","1","30","White","2.252","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.293","2.296","2.2945","797"
"Sp2011","Math & Stat","n/a","n/a","0","n/a","n/a","0","n/a","n/a","0","Math & Stat","Math & Stat","2","0","26","White","2.131","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.148","2.015","2.0815","864"
"Fa2010","Biol Sci","n/a","n/a","0","n/a","n/a","0","n/a","n/a","0","Biol Sci","n/a","1","1","25","Asian","2.703","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.772","0.0","2.772","949"
"Fa2010","Info Sys","Info Sys","n/a","1","n/a","n/a","0","n/a","n/a","0","n/a","n/a","0","1","46","White","4.000","4.000","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"," 0.0","0.0","1054"
"Fa2013","Info Sys","n/a","n/a","0","n/a","n/a","0","n/a","n/a","0","Info Sys","n/a","1","0","33","Black/African American","2.132","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.162","0.0","2.162","1149"
"Fa2011","Info Sys","n/a","n/a","0","n/a","n/a","0","n/a","n/a","0","Info Sys","Info Sys","3","0","27","Asian","2.052","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.991","2.043","2.055","1774"
"Fa2010","Info Sys","n/a","n/a","0","n/a","n/a","0","n/a","n/a","0","Info Sys","Info Sys","2","0","29","Hispanic/Latino","2.431","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.354","2.354","2.354","1942"
"Fa2010","Mech Eng","n/a","n/a","0","n/a","n/a","0","n/a","n/a","0","Mech Eng","n/a","1","0","25","Black/African American","2.394","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.405","0.0","2.405","2023"
"Fa2010","Comp Sci & EE","Comp Sci & EE","n/a","1","n/a","n/a","0","n/a","n/a","0","n/a","n/a","0","0","25","White","0.950","1.292","0.0","1.292","0.0","0.0","0.0","0.0","0.0","0.0","0.0"," 0.0","0.0","2236"
"Fa2010","Chem Eng","n/a","n/a","0","n/a","n/a","0","n/a","n/a","0","Chem Eng","Chem Eng","2","0","24","International","2.669","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.696","2.748","2.722","2258"
"Fa2010","Biol Sci","n/a","n/a","0","n/a","n/a","0","n/a","n/a","0","Biol Sci","Biol Sci","2","1","21","Not Specified","3.612","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.590","3.568","3.579","2324"
