Stu dent,Term,Year,Level,Status,YearTerm,IsFemale,Ethnicity,Age,GPA-HS,GPA-TF,Major,Minor/Major2,Cred-Tot,Cred-Cum,GPA-PRE,GPA-Term,GPA-POST
359,Fall,2015,Senior,C. UG,Fall,0,White,38,,,BIOS,,7,107,2.679,0,2.679
472,Fall,2011,Senior,C. UG,Fall,0,White,27,3.7,,IS,,6,92,2.336,2,2.327
472,Spring,2011,Senior,C. UG,Fall,0,White,27,3.7,,IS,,6,95,2.327,2,2.319
472,Fall,2012,Senior,C. UG,Fall,0,White,28,3.7,,IS,,3,101,2.362,0,2.362
650,Spring,2010,Senior,Other,Fall,0,White,27,2.86,,IS,,15,133,2.382,3,2.434
650,Fall,2011,Senior,C. UG,Fall,0,White,28,2.86,,IS,,18,146,2.487,2.833,2.524
650,Spring,2011,Senior,C. UG,Fall,0,White,28,2.86,,IS,,12,168,2.511,3,2.543
650,Fall,2012,Senior,C. UG,Fall,0,White,29,2.86,,IS,,12,192,2.495,3,2.524
102699,Fall,2015,Senior,C. UG,Fall,0,Asian,33,3.08,,BIOS,,7,113,3.289,0,3.289
682,Fall,2012,Senior,C. UG,Fall,1,Asian,27,3.72,,BIOS,,4,61,2.441,3,2.476
682,Spring,2012,Senior,C. UG,Fall,1,Asian,28,3.72,,BIOS,,6,61,2.476,2.333,2.464
682,Fall,2013,Senior,C. UG,Fall,1,Asian,28,3.72,,BIOS,,6,71,2.507,3.333,2.568
682,Spring,2013,Senior,C. UG,Fall,1,Asian,29,3.72,,BIOS,,3,80,2.512,0,2.512
797,Fall,2010,Senior,C. UG,Fall,1,White,30,3.17,,GES,,10,120,2.252,2.8,2.293
797,Spring,2010,Senior,C. UG,Fall,1,White,30,3.17,,GES,,9,130,2.293,2.333,2.296
864,Spring,2011,Senior,C. UG,Fall,0,White,26,3.33,,MATH,,13.5,93,2.131,2.333,2.148
864,Fall,2012,Senior,C. UG,Fall,0,White,26,3.33,,MATH,,12,113.5,2.22,0,2.015
949,Fall,2010,Senior,C. UG,Fall,1,Asian,25,4.1,,BIOS,,10,94,2.703,3.4,2.772
1054,Fall,2010,Freshman,C. UG,Fall,1,White,46,,4,IS,,3,12,4,4,4
1149,Fall,2013,Senior,C. UG,Fall,0,Blk/AA,33,,2.5,IS,,6,58,2.132,2.5,2.162
1774,Fall,2011,Senior,C. UG,Fall,0,Asian,27,3.08,,IS,,10,92,2.052,1.4,1.991
1774,Spring,2011,Senior,C. UG,Fall,0,Asian,27,3.08,,IS,,9,99,1.991,2.667,2.043
1774,Fall,2012,Senior,C. UG,Fall,0,Asian,28,3.08,,IS,,15,109.5,2.043,2.8,2.131
1942,Fall,2010,Senior,C. UG,Fall,0,Hp./Lat.,29,3.59,,IS,,7,102,2.431,0,2.354
1942,Spring,2011,Senior,C. UG,Fall,0,Hp./Lat.,30,3.59,,IS,,4,102,2.354,0,2.354
2023,Fall,2010,Senior,Other,Fall,0,Blk/AA,25,3.16,,MECH,,15,106,2.394,2.5,2.405
2236,Fall,2010,Freshman,Other,Fall,0,White,25,2.4,,CSEE,IS,4,9,0.95,3,1.292
2258,Fall,2010,Senior,C. UG,Spring,0,Int'l,24,,,CHEM.E,,13.5,135,2.669,3,2.696
2258,Spring,2010,Senior,C. UG,Spring,0,Int'l,25,,,CHEM.E,,11,148.5,2.696,3.455,2.748
2324,Fall,2010,Senior,C. UG,Fall,1,N/A,21,4.17,,BIOS,,15,93,3.612,3.467,3.59
2324,Spring,2010,Senior,C. UG,Fall,1,White,21,4.17,,BIOS,,16,108,3.59,3.364,3.568
2388,Fall,2010,Senior,C. UG,Fall,0,White,21,3.64,,IS,,9,114,2.974,2.667,2.951
2474,Fall,2011,Senior,C. UG,Spring,1,Blk/AA,25,3.02,2.44,BIOS,,7,77,2.725,0,2.725
2492,Spring,2013,Senior,C. UG,Spring,0,Blk/AA,28,,,MATH,,16,94,2.284,2.333,2.289
2492,Fall,2014,Senior,C. UG,Spring,0,Blk/AA,28,,,MATH,,14.5,105,2.362,2.692,2.398
2756,Fall,2010,Senior,C. UG,Fall,0,White,24,3.42,,CHEM.E,,13,147,3.068,2.3,3.014
2756,Spring,2010,Senior,C. UG,Fall,0,White,24,3.42,,CHEM.E,,16,156,3.014,3,3.013
2756,Fall,2011,Senior,C. UG,Fall,0,White,25,3.42,,CHEM.E,,7,172,3.013,3.429,3.03
2756,Spring,2011,Senior,C. UG,Fall,0,White,25,3.42,,CHEM.E,,3,172,3.03,3,3.03
270456,Fall,2010,Junior,Transfer,Fall,1,Blk/AA,40,,2.48,IS,,13,61.05,0,2.462,2.462
3086,Fall,2013,Senior,C. UG,Fall,0,Blk/AA,28,2.39,,IS,,13,106,1.886,3.3,1.986
3086,Spring,2013,Senior,C. UG,Fall,0,Blk/AA,29,2.39,,IS,,12,119,1.986,3.333,2.066
3086,Fall,2014,Senior,C. UG,Fall,0,Blk/AA,29,2.39,,IS,,13,128,2.066,3.333,2.138
3086,Spring,2014,Senior,C. UG,Fall,0,Blk/AA,30,2.39,,IS,,16,137,2.138,0.9,2.065
3086,Fall,2015,Senior,C. UG,Fall,0,Blk/AA,30,2.39,,IS,,6,143,2.065,0,2.065
3150,Spring,2010,Senior,Other,Fall,1,Blk/AA,28,2.8,2.75,BIOS,,13,122,2.047,0.231,1.849
3324,Fall,2010,Senior,C. UG,Fall,1,Asian,34,,2.85,CSEE,,2,157,3.287,3,3.281
3324,Spring,2010,Senior,C. UG,Fall,1,Asian,34,,2.85,CSEE,,5,159,3.281,3.4,3.287
3324,Fall,2011,Senior,C. UG,Fall,1,Asian,35,,2.85,CSEE,,6,104,3.287,2,3.25
3324,Spring,2011,Senior,C. UG,Fall,1,Asian,35,,2.85,CSEE,,3,110,3.25,4,3.271
3324,Fall,2012,Senior,C. UG,Fall,1,Asian,36,,2.85,CSEE,,3,111.5,3.271,4,3.291
3324,Spring,2012,Senior,C. UG,Fall,1,Asian,36,,2.85,CSEE,,3,111.5,3.291,4,3.31
3324,Fall,2013,Senior,C. UG,Fall,1,Asian,37,,2.85,CSEE,,2,114.5,3.31,4,3.322
3481,Fall,2010,Senior,C. UG,Fall,0,Asian,26,2.96,2.5,IS,,12,156.5,2.644,2.5,2.626
3481,Spring,2010,Senior,C. UG,Fall,0,Asian,27,2.96,2.5,IS,,15,168.5,2.626,2.333,2.602
3481,Fall,2011,Senior,C. UG,Fall,0,Asian,27,2.96,2.5,IS,,3,111.5,2.602,4,2.64
3573,Fall,2010,Freshman,C. UG,Spring,1,Blk/AA,32,,,IS,,3,12,0.6,0,0.6
3600,Fall,2010,Senior,C. UG,Fall,0,White,25,3,,CHEM.E,,13,103,2.506,2,2.452
3600,Spring,2010,Senior,C. UG,Fall,0,White,25,3,,CHEM.E,,13,116,2.452,2.231,2.425
3600,Fall,2011,Senior,C. UG,Fall,0,White,26,3,,CHEM.E,,9,112,2.425,2.333,2.417
3600,Spring,2011,Senior,C. UG,Fall,0,White,26,3,,CHEM.E,,9,118,2.417,2,2.387
3600,Fall,2012,Senior,C. UG,Fall,0,White,27,3,,CMBE,,9,127,2.387,2.667,2.406
